imdb_id,director,collection_dollar,gender,probability,original_title,year_of_release
tt2806788,mrighdeep lamba,180331,male,0.98,Fukrey,2013
tt1949548,madhur bhandarkar,8036853,male,0.98,Heroine,2012
tt5882970,kabir khan,4650456,male,1,Tubelight,2017
tt6108090,advait chandan,130765691,Male,0.98,Secret Superstar,2017
tt3666258,manu warrier,NA,Male,0.7,Coffee Bloom,2015
tt1947973,chandrakant singh,442971,male,0.999,Bin Bulaye Baraati,2011
tt1954598,maneesh sharma,328870,male,0.99,Ladies vs. Ricky Bahl,2011
tt7471004,milind rau,7699,male,0.99,The House Next Door,2017
tt5690142,ravi udyawar,20642399,male,0.99,Mom,2017
tt3142232,sabbir khan,90785,male,0.99,Heropanti,2014
tt1877691,sahil sangha,NA,Male,0.99,Love Breakups Zindagi,2011
tt2691010,hemant madhukar,NA,male,0.995,Mumbai 125 KM 3D,2014
tt3524410,janaki vishwanathan,NA,Female,0.98,Yeh Hai Bakrapur,2014
tt2246724,raj kumar gupta,6571685,Male,0.999,Ghanchakkar,2013
tt5325684,vishal pandya,78134,male,0.99,Hate Story IV,2018
tt10324144,anubhav sinha,734514,male,0.99,Article 15,2019
tt6296236,amit roy,7674,male,0.995,Running Shaadi,2017
tt5021968,sharique minhaj,NA,male,0.99,Chinar Daastaan-E-Ishq,2015
tt2346744,akashaditya lama,NA,Male,0.99,Cigarette Ki Tarah,2012
tt2302416,dipesh jain,NA,male,0.995,Gali Guleiyan,2017
tt4651394,binod pradhan,NA,male,0.99,Wedding Pullav,2015
tt4384270,sunil prem vyas,NA,Male,0.99,Take It Easy,2015
tt5717110,md. shahnause,650387,male,0.99,Tum Bin 2,2016
tt5997928,shubhashish bhutiani,81540,Male,0.99,Hotel Salvation,2016
tt5460276,sanjay gupta,21893244,male,0.99,Kaabil,2017
tt4642936,param gill,NA,Male,0.95,Warrior Savitri,2016
tt6752836,gulbahar singh,NA,male,0.95,Ek Rani Aisi Bhi Thi,2013
tt3814100,saahil prem,NA,male,0.99,M.A.D: Mad About Dance,2014
tt3495030,sharat katariya,4219952,male,0.99,Dum Laga Ke Haisha,2015
