imdb_id,wiki_link,plot
tt2806788,https://en.wikipedia.org/wiki/Fukrey,"Plot

Delhi-based school backbenchers Vikas ""Hunny"" Gulati and Dilip ""Choocha"" Singh are perpetually dreaming of making it big and want to get into the local college but don't have the required grades. The college guard Pandit tells them that he can provide them with the leaked class XII papers for a large sum of money. Choocha has the power to get the winning number of any lottery in his dream, and Hunny has the talent to sand the exact number out of his dream. They cannot afford or collect the money required, so they decide to sell the papers to other students but fail there too. Meanwhile, through Pandit, they meet Zafar, a former student of the college and a struggling musician. The fourth character is Lali, whose father Billa runs a sweet shop. Lali is currently pursuing his degree through correspondence and, like Hunny and Choocha, also wants to get into the same college, where his girlfriend Shalu, who ignores him all the time, studies. Pandit asks Lali to donate ₹250,000 in the college development fund to get admission, but Billa refuses to, saying college is too costly. Zafar's girlfriend, Neetu, who has broken up with him over his career choices, is now giving private tuition to Lali so that he can get the marks to get into the college of his dreams. On the other hand, Zafar's father faces a stroke and is paralysed. Zafar badly needs money for his treatment.

The four meet up at Pandit's office, where Hunny explains his scheme. However, since now they all together need a lot of money, they need someone to invest their money. On Zafar's insistence, Pandit is talked into taking them to meet a local gangster, Bholi Punjaban, where Hunny tells them their scheme. Bholi is ready to invest, and Lali also gives his shop papers as a mortgage. Bholi tells them to come the next day with the number. However, the same night, everyone except Choocha falls asleep. The next morning, Choocha narrates a fake dream, which Hunny interprets and gets a number. They go to Bholi and tell the number, but it backfires, and Bholi loses her money. Now to recover her money, she gives them a packet containing drug pills, which Zafar, Hunny, and Lali have to sell at a rave party the same night. She keeps Choocha as security with her. At the party, police and the Narcotics division conduct a raid, and Lali escapes with a packet with the police chasing him. Lali manages to fool the cops and reaches Neetu's place. He also sees Zafar there. Neetu throws the drugs down the drain just as the police are about to search her home. The cops leave her place, warning Lali. Meanwhile, Zafar tells the whole story to Neetu, and he was thinking that Neetu was falling for him, but she refuses. Zafar also warns him. Lali also calls Choocha, telling him to run from Bholi's house, which he succeeds in doing.

The next morning, all five of them land up at Bholi's place. She gives them 24 hours to pay all the money due; otherwise, she would take the money by selling Lali's shop. The four are fighting at Zafar's place, where Choocha tells them the truth about not seeing the dream. However, he says to them that he slept last night, and he saw a dream. Zafar is not interested, while Lali, Hunny, and Neetu are. Hunny interprets the dream, but they are short of cash even after Neetu is ready to give her savings. However, next morning Lali is able to borrow some money from a homeless man who used to remove parts from Lali's motorcycle. They invest and win a huge amount. They go to Bholi's house and give her the money. Hunny tells Bholi that he wants to sell the drug pills again and gives her an advance. Impressed, Bholi goes inside and returns with the pills, only to be caught red-handed by the police and Narcotics Division, who have raided her home. While Hunny, Choocha, Lali, and Neetu were investing the money, Zafar met the Narcotics Division and made a plan to catch Bholi and also called Neetu, Lali, Choocha, and Hunny, where they confessed to the police. Now with Bholi behind bars, the police pardon the four, and they are free.

Three months later, it is shown that Hunny and Choocha have become rich and are entering the same college on horses as they had planned at the beginning of the film, while Pandit is shocked to see them. Lali is making new girlfriends. Priya reunites with Honey, and Neetu gets engaged to Zafar. Lali, Zafar, Neetu, and Priya are having a good laugh."
tt1949548,https://en.wikipedia.org/wiki/Heroine_(2012_film),"Plot

A journalist reports on the life of Mahi Arora, a renowned film actress, describing her as unstable and problematic, but damaged and lonely due to childhood trauma, and bipolar disorder. Through a flashback, we are shown Mahi's relationship with leading film actor, Aryan Khanna. Aryan is going through a divorce whilst dating Mahi. The couple make a sex tape of themselves. When Mahi learns of an intimate scene Aryan is shooting for a film, she causes a scene on the set, which upsets Aryan. The couple reconciles but Mahi is repeatedly insulted by Aryan's wife. While driving back from a party with Aryan, she raises the topic of his wife, which results in her being thrown out of the car.

Realising her place in Aryan's life, Mahi goes into depression, putting her career in decline. A friend convinces Mahi to leave the past behind her and re-enter the industry so Mahi decides to rejuvenate her career. She employs a public relations manager, Pallavi, who uses sensationalist tactics to reinvent Mahi's image. Mahi starts a relationship with the Vice Captain of the India national cricket team, Angad Paul. Soon, her personal and professional life are stable once again. On the advice of Pallavi, she uses Angad's connections to get a role in a big budget film. The lead actor of the film, Abbas Khan, a married playboy, attempts to initiate an affair with her. She rejects him, which causes him to seek revenge. He demands that the director re-edit the movie so that the story becomes about him and an item girl. Mahi is dissatisfied despite the film being a success, and in a desperate attempt to prove her acting skills, works in a low-budget art film for months. Angad proposes to her but she feels that they should concentrate on their careers. This causes their relationship to end. The art film never completes, and Mahi goes into depression again. She is also denied the opportunity to adopt a child, due to her history of alcoholism and psychiatric problems. Since she cannot get a role in big budget productions, she decides to work on a low-budget film with newcomers.

Mahi meets Aryan at a wedding, and he apologises. The two rekindle their relationship. Aryan says that he wants her to do a big budget film with him but the director is reluctant to cast her as she has lost her appeal. Mahi becomes obsessed with the thought of losing the role to another heroine. At a poorly-attended press conference for an upcoming film, Mahi is mocked by journalists who inform her that the director has cast another actress opposite Aryan. Distraught, Mahi and Pallavi decide to create controversy by leaking the sex tape of her and Aryan. The video becomes a viral sensation and as a result, the low-budget film becomes an instant hit.

Mahi's success is short-lived. She starts questioning her career and life choices. She finally decides to leave the industry after her agent Rashid Bhai, a father figure to her, quits, and Shagufta Rizvi, a veteran actress she respected and admired, dies. At the end, Mahi is shown walking alone in a foreign country, and on being asked if she is Mahi Arora, she replies she is not."
tt5882970,https://en.wikipedia.org/wiki/Tubelight_(2017_Hindi_film),"Plot

In pre-independence India, Laxman Singh Bisht is a mentally-challenged child, who, although defended by his younger brother Bharat is bullied by his friends, who call him ""Tubelight"". A montage shows them grow up, showing the time when Gandhi visits their school, India's independence in 1947, Gandhi's assassination and the death of their parents, which brings them closer as they grow up.

In October 1962, the Chinese invade India, following which the Indian Army begins to set-up recruitment camps. From their village, only Bharat is selected and allotted the Kumaon Regiment. As they reach their post, war is declared and they come under heavy attack. Laxman anxiously waits for his brother to come back, running from post to post to find out about him.

He meets a magician, Gogo Pasha, who shows him a magic trick by making him move a bottle without touching. Pasha tells Laxman that the secret is 'faith', and that faith can do anything. Oblivious to it, he tries to repeat the trick to his villagers but fails. A village elder, Banne says ""Faith moves a mountain"" and explains how Laxman will find his faith.

Meanwhile, Bharat, while being evacuated after an injury, is ambushed and taken prisoner. He makes a plan with other prisoners to escape.

Laxman observes a woman Le Leing and a boy Gu Won, take a home nearby. Judging them by their appearance, he considers them to be Chinese and tries to report them to the authorities. Banne gets angry, and advises him to follow the wisdom of Gandhi, and befriend the woman and boy. After some attempts, he succeeds in befriending them and learns that are Assamese and not Chinese.

Meanwhile, Bharat's escape plan fails and his fellows are killed. He too is shot and finds himself unable to move. Having no hope of survival, he exchanges his shoes with another soldier who has torn his, to give him a chance to escape. The other guy however gets killed as well.

Laxman learns of his brother's capture and becomes heartbroken, but Leing consoles him and encourages his faith. Laxman's friend, Narayan tries to attack Won, considering him to be Chinese, but is stopped by Laxman. He attempts to convince Laxman to not befriend Chinese people or he will lose Bharat forever; Leing tearfully tells them that they are Indians too. As Laxman tries to explain his belief in 'faith', Narayan challenges him to move a mountain; Laxman apparently succeeds as an earthquake is felt.

With ceasefire declared, the Army begin bringing back corpses. They find a dead body, with Bharat's shoe-tag and declare him dead. Laxman is grief-stricken and believes that people were right about him now that Bharat has been killed. As the friends celebrate the end of the war, Leing's lost father returns. Leing and Gu comforts Laxman as they bid farewell to return to Calcutta.

Laxman, still having a little faith in him, learns of the mistake in identifying corpses due to the interchanged shoes. They receive the news that Bharat is still alive but has lost his memory. At the medical camp, Laxman is reunited with his brother who is able to recognise Laxman, possibly restoring his memory."
tt6108090,https://en.wikipedia.org/wiki/Secret_Superstar,"Plot

Insia Malik, a 15-year-old girl, lives with her Muslim family in Baroda: her mother Najma, her brother Guddu, her paternal grandmother, and her abusive father Farookh, who often beats his wife. Insia is very passionate about singing, and her mother supports her, but her father is against her dream of being a singer.

She records a song wearing a niqab, so Farookh can't find out her identity, and uploads the video on YouTube under the name of 'Secret Superstar' using the laptop gifted by Najma. She becomes an overnight sensation and grabs the attention of Shakti Kumar, a talented but pretentious music director based in Mumbai. He requests Insia to record a song, but she refuses as she hears a lot of negative things about him. Due to her poor academic grades, Farookh rips out all the strings from her guitar.

The next night, after discovering that Najma sold a valuable necklace to buy Insia's laptop, Farookh thrashes her and tells Insia to throw out the laptop. Insia gets so angry that she snatches the laptop and drops it from the balcony where it falls and shatters on the street. After fleeing from school to record a song for Kumar, she is unable to sing a certain party song. Insia tells this to Kumar who reveals that it is a remix. He tells her about the original version which was launched ten years ago. After singing the original song, her fame grows and she is nominated for the Best Female Singer. Insia persuades Kumar to arrange a meeting with his ex-wife's lawyer. The lawyer prepares divorce papers for Najma to sign, and gives them to Insia.

Insia gives her mother divorce papers to sign, but her mother angrily rejects Insia's demand that her parents divorce. Insia becomes frustrated with her mother, but later forgives her, after her grandmother reveals how Najma struggled to keep Insia alive. Farookh is offered a job in Riyadh and he makes it known to Insia that he plans to marry her off to his friend's son. Devastated, Insia gives up her dream of singing and deletes her YouTube channel. Farookh confirms their departure on the last day of Insia's exams.

Their first flight goes well. However, during a layover at Mumbai airport, Farookh spots Insia's guitar case. Unwilling to pay the extra fee for the case, he demands that Insia throw the guitar in the nearest trash can. After initially holding back her emotions, Najma finally stands up for herself and boldly protests. She angrily warns Farookh that should he lay hands on her or her kids, he will face severe consequences and even lose his job in Riyadh. Najma then unpacks the divorce papers, signs them, and thrusts them into Farookh's hands. Najma says her goodbyes to Farookh's mother (Insia and Guddu's grandmother) and storms out of the airport with her kids in tow leaving Farookh as he tries to beg Najma and Insia for forgiveness. Najma borrows a stranger's cell phone and asks Insia to contact Kumar. All three ultimately end up at the awards ceremony where Insia has been nominated for Best Female Singer. Unfortunately, Insia does not win the award. But the winner, Monali Thakur, graciously offers Insia her award believing she rightfully deserved it. Kumar stands up and calls attention to Insia's presence in the audience. Once onstage, Insia reveals her true identity and dedicates her award to her mother and proclaims her the true 'Secret Superstar' since Najma supported and fought for Insia even before her birth.

The screen fades to a message dedicating the movie ""To Mothers And Motherhood."" Later, Shakti kumar releases a cheesy party song on YouTube dedicated to Insia."
tt3666258,https://en.wikipedia.org/wiki/Coffee_Bloom,"Plot

Dev Arjun Mathur, though a self-proclaimed wise man finds comfort in being a loser, having given up on life as a result of a love gone wrong. A life-changing event takes him on a journey to a coffee plantation. There he meets Anika Sugandha Garg, once the love of his life, now his boss. Love blooms in an idyllic setting, bringing Dev out of his self-imposed funk and Dev finds a new reason to live. A terrible misunderstanding pushes him into taking drastic measures. Much is at stake as the yearly bloom is round the corner. And Dev is confronted with his past, present, and future – all at once. He reaches the plantation where Srinivas the estate owner and Anika is his wife. Srinivas doesn't know much about coffee and relies on Dev to maintain the plantation. It is revealed that Dev consumed the poison while Anika did not and their love story ended over there. In the plantation gets some weed. Srinivas gets shot in an ambush on the plantation. Shonda confronts Dev about why he didn't tell her about Anika and didn't tell Anika that this plantation belonged to him. ASI confronts Dev and asked him how Srinivas was shot. He is brought into police custody and Anika hires a lawyer and took him out of the police custody. She informed Dev that Srinivas told everyone that he misfired the gun and gives the plantation paper to Dev. She also told him that she knows Dev sabotaged the bloom by clinically planting the rust. She and Dev both cries and part ways knowing that they broke Srinivas's trust."
tt1947973,https://en.wikipedia.org/wiki/Bin_Bulaye_Baraati,"Plot

Criminals Hazari (Sanjay Mishra) and Murari (Rajpal Yadav) rob the Police Commissioner's home, and Chetta Singh (Vijay Raaz) steals the car belonging to the Commissioner's wife, Kusum (Rati Agnihotri). Meanwhile, AD (Aftab Shivdasani) elopes with Shreya (Priyanka Kothari), the niece of Police Sub-Inspector Pralay Pratap Singh (Om Puri). With each group on the run for different reasons, they all end up in a vehicle stolen from crime boss Durjan Singh/Black Cobra (Gulshan Grover). In the vehicle is a suitcase filled with Durjan's loot.

On the run from both gangsters and police, they group disguise themselves using fake police uniforms and arrive in Madhavgarh village just in time to stop Loha Singh (Manoj Joshi) from committing a crime. Believing them to be real law officials, the town's residents host a congratulatory feast in their honor. The group settles in comfortably among their new-found friends, but the Black Cobra tracks them down and plots their capture and death."
tt1954598,https://en.wikipedia.org/wiki/Ladies_vs_Ricky_Bahl,"Plot

Dimple Chaddha, a spoiled and wealthy Delhi girl, falls for her fitness trainer, Sunny Singh, who charms her and pretends to be interested in marriage. He tells her about a disputed inheritance involving a property occupied by tenants. Dimple persuades her father to use his influence to evict the tenants, and they even lend Sunny ₹20 lakh to help him claim the property. However, it is later revealed that the inheritance was fabricated and the tenants were legal occupants. Sunny vanishes with the money, leaving Dimple heartbroken and embarrassed.

Meanwhile, in Mumbai, successful businesswoman Raina Parulekar purchases an expensive painting from Deven Shah, who claims to run an art gallery. Shortly after the transaction, Deven disappears with ₹60 lakh, and Raina learns the painting is fake. She publicly shares her story, which draws the attention of Dimple. They connect and are soon joined by Saira Rashid, a shy and trusting woman from Lucknow who was conned out of ₹10 lakh by a man named Iqbal Khan, whom she was romantically interested in.

The three women realize that Sunny, Deven, and Iqbal are the same man operating under different aliases. They nickname him “Bloody Kameena” (BK) and hatch a plan to con the conman. Raina, using her resources, finances the plan. They recruit Ishika Desai, a sharp-tongued and confident saleswoman from Mumbai, to pose as a wealthy NRI heiress and lure BK in.

Tracking him down to Goa, they discover he is now operating under the name Vikram Thapar, posing as the owner of a beachside water sports business. Ishika approaches him, pretending to be the daughter of a hotel-chain magnate looking to invest in a restaurant. Vikram quickly takes the bait and begins to court her, unaware of the setup.

To impress Ishika, Vikram offers to fund the restaurant’s launch. Meanwhile, the women feed him fake bills, cheap materials, and fake staff, slowly recouping the money he stole from them. As Vikram grows closer to Ishika, he genuinely starts falling for her. After a successful launch party, he and Ishika spend time together and share a kiss. The next morning, he discovers Ishika meeting with the other women and realizes he has been conned.

Determined to retaliate, Vikram manipulates the situation and sells Ishika a worthless property for the restaurant. The women, believing Ishika has betrayed them, confront her and ask her to leave. Later, they find Vikram waiting at their hotel. He confesses to his past cons and expresses remorse, claiming he now understands how it feels to be deceived. He offers to return all the stolen money and insists he wants to turn over a new leaf.

As the women prepare to leave, they notice Ishika is heartbroken over Ricky, and they decide to help reunite the couple. Ricky, now revealing his real name, proposes to Ishika and tells her he wants to learn how to live honestly, with her help."
tt7471004,https://en.wikipedia.org/wiki/The_House_Next_Door_(2017_film),"Plot

The movie starts with the happy life of a mother and daughter back in 1934. In the present, 2016, Dr. Krishnakumar (Siddharth), a successful neurosurgeon, and his wife Lakshmi (Andrea Jeremiah) live peacefully in their beautiful house under the mountains in Rosina Valley. The D'Costa family moves into the next house, which belonged to the mother and daughter years ago. Jennifer D'Costa (Anisha Angelina Victor) is a troubled teenage daughter of the neighbors. Though she is rebellious, she deeply loves her family and her half-sister Sarah. Jenny and Sarah come to meet Lakshmi and make friends with her. Jenny is instantly attracted to Krish's charm.

The D'Costas invite Krish and Lakshmi for dinner. While exploring the house, Krish sees Jenny jumping into the well and saves her. Jenny's rebellious nature makes her do things like smoking. During one such time, when she sneaks out of the house for a smoke, she picks up some belongings of a dead person. Jenny starts to act weird soon and sleepwalks to the edge of a cliff, where her father Paul (Atul Kulkarni) and Krish save her yet again. Jenny's grandfather contacts a psychic, but Paul refuses to take any help from him. Krish refers them to his psychiatrist friend Dr. Prasad (Suresh), who gives Jenny a hypnotherapy session, and she tells him that there is someone telling her family to leave the house, and then Jenny starts speaking in Chinese. Prasad concludes she has developed paranoia with visual and auditory hallucinations and advices Paul to perform an exorcism since he is sure of some paranormal behaviors happening with Jenny. Paul calls Pastor Joshua (Prakash Belawadi) to perform the exorcism, and they find that their new house is haunted by three ancient Chinese spirits. One of them is a bloodthirsty man, while the other two spirits are the mother and the daughter, who want the family to get out of the house without trouble. The exorcism session cures Jenny, but the violent antics of the spirits injure Joshua, who falls into a coma, while Krish and Paul are also injured.

Things seem normal, and Lakshmi finds out that she is pregnant, but one day, Paul's housemaid disappears. Krish and Lakshmi also witness increasing paranormal disturbances in their daily lives. Paul finds some disturbing evidences in his house and agrees to call the psychic from earlier, and he reveals the presence of a mother and daughter spirit, asking them to leave. He also discovers their skeletal remains in the nearby cliff edge, along with the male spirit's remains.

Meanwhile, Prasad feels that there is more to the story of the spirits from Jenny's exorcism and upon researching finds that there is a witness who knows what happened in Paul's house 80 years ago, an old lady from the village. Krish and Prasad visit the old lady, who reveals that the man of the house, Lu Wei, was into black magic. He attempted to kidnap and kill her when she was a child, but his pregnant wife intervened and let her escape. It is shown that Lu Wei tried to perform the human sacrifice as a ritual so that his next offspring would be a boy. When his ritual was disturbed, Lu Wei heartlessly lures his own daughter and sacrifices her instead. Lu Wei's distraught wife witnesses this and stabs herself in the stomach, killing her and her unborn child and thereby ruining Lu Wei's plans. An enraged Lu Wei commits suicide by drowning himself in the well. The old lady further tells that all these events unfolded during a rare solar eclipse day, and a similar eclipse is bound to happen again the next day.

Krish and Prasad go back home and seemingly continue to discuss the events. The next day, Lakshmi calls out for Krish and asks him to help Jenny, since she is possessed again. When they go to Jenny's house, to Krish's surprise, Lakshmi locks him up in a room. It is then revealed that Joshua awoke from his coma and told Lakshmi that during Jenny's exorcism, he found that not only Jenny was possessed by the woman's spirit, but Krish was possessed by Lu Wei's spirit and the possession must have happened when Krish jumped into the well and rescued Jenny. Lu Wei now intends to continue where he left off and targets Sarah for his human sacrifice so that Lakshmi would give birth to a boy. It is shown that a possessed Krish had earlier killed Prasad too, since he found the truth. Krish breaks free and tries to kill Sarah and cause mayhem, but the Chinese mother-daughter spirits overpower him and destroy Lu Wei's spirit from Krish's body as the solar eclipse ends, and Krish gets back to normal.

A few years later, it is shown that Krish's family and the D'Costas are still good neighbors, while Lakshmi and Krish now have a son, with whom Jenny and Sarah go to play. The screen closes in on the boy's eye, which changes to show double irises, implying that he could be demonic, since he was conceived when Krish was possessed by Lu Wei."
tt5690142,https://en.wikipedia.org/wiki/Mom_(film),"Plot

Devki Sabarwal is a vivacious biology teacher who is popular with her students. However, her stepdaughter Arya rebuffs her attempts to build a relationship despite Devki's persistence and warmth, as she still misses her biological mother. One day in class, a student Mohit Chadda sends Arya an inappropriate video; Devki throws his phone out the window. When Arya is invited to a Valentine's Day party at Zodiac Farms, Devki and Arya's father Anand reluctantly allow her to go. Arya rejects the advances of Mohit and his cousin, Charles Deewan, at the party. Angered by the public rejection, Charles, Mohit, their criminal friend Joginder ""Jagan"" Singh, and farmhouse security guard Baburam Yadav ambush and kidnap Arya when she leaves the party. They brutally gang rape and strangle her, then dump her in a roadside ditch, leaving her for dead. Arya is found barely alive by a man walking his dog the next morning, and brought to a hospital; Devki and Anand are shattered. She suffers serious internal injuries, but recovers over the next month and names her attackers.

Inspector Mathew Francis quickly rounds up the perpetrators; however, the case falls apart when Arya is found to have consumed alcohol at the party, raising the possibility that her memory is unreliable. In addition, the tardily-collected semen samples are too weak to match those of her attackers. The four men are acquitted due to a lack of evidence. Arya, in shock and broken by the verdict, withdraws and tears away from Devki. The family's lawyer suggests appealing to a higher court, but Devki has lost her faith in the legal system.

Devki remembers a shady detective, Dayashankar Kapoor (""DK""), whom she had met at the police station on the night of the crime. Having a daughter himself, DK understands her pain and agrees to help her seek revenge for Arya's ordeal. Devki enlists her former students to attack Baburam, and they seduce and drug him. He awakens four days later, still drunk and remembering nothing, and discovers that he has been castrated. In a state of shock, he dies in an accident. Devki then breaks into Charles' home and mixes crushed apple seeds, a source of cyanide, into his powdered nutritional supplement. Charles is paralysed, and when Mohit visits him at the hospital, Devki (tipped off by DK) plants apple seeds and other evidence at Mohit's home; however, she leaves behind her glasses. Mathew quickly arrests Mohit and he is charged with murder since Charles is dying.

As Devki eliminates each of Arya's attackers, their stories appear on the news, which Arya sees. She starts to believe that a vigilante (perhaps her father) is at work, and is deeply grateful. Mathew also suspects Anand, since he had attacked Mohit in court; he has Anand tailed but learns nothing. Mathew finds Devki's glasses in Mohit's apartment and begins to suspect her. He warns Devki that the fourth man, Jagan, is a hardened criminal and going after him will endanger her family. Jagan visits Mohit, who is being physically abused by another inmate in prison and insists he was framed. Jagan then visits Charles, who tells him ""Mom"" before he dies, revealing Devki is the perpetrator. Jagan goes after DK and learns that Devki and her family are on holiday at a snow cottage in Kufri. He kills DK and tracks down Devki. Mathew later finds a hidden camera in DK's glasses and hurries to save Devki.

Jagan cuts the power to the cottage and shoots Anand. He corners Arya but has a scuffle with Devki while Arya flees outside. Jagan chases her, and Devki tries to save her stepdaughter. Jagan is about to kill Devki when Mathew tackles him. In a standoff, Devki and Mathew point their guns at Jagan; Matthew tries to dissuade Devki by telling her that Anand is alive, and she will go to jail if she shoots Jagan. Jagan angrily describes how Devki finished off the other attackers, which Arya overhears. Devki knows if Jagan is left alive, he will come after her again; Mathew then hands her his gun and urges her to kill Jagan. Devki hesitates, but when an overwhelmed Arya calls her ""Mom"" for the first time, she shoots Jagan dead. Arya and Devki share a tearful, tender embrace."
tt3142232,https://en.wikipedia.org/wiki/Heropanti,"Plot

Sooraj Singh Chaudhary is a stern patriarch from a respected Jat family in Haryana. On his elder daughter Renu's wedding night, she elopes with her boyfriend, Rakesh. Determined to retrieve her, Chaudhary mobilizes his men to track down the couple. They capture two of Rakesh's friends and force them to reveal Bablu's name, suspecting he knows the couple's whereabouts. When Chaudhary's brothers Bhuppi, Pappi, and Sukhi confront Bablu, he overpowers them but is eventually subdued. Bablu and his friends are held captive and interrogated but insist they know nothing. Meanwhile, Bablu confides in his friends about his love for a girl whose earring he found but does not know her identity. The group attempts to escape but is recaptured when Bablu is distracted by catching sight of the girl.

Dimpy, Chaudhary's younger daughter and Renu's sister, discovers Renu's love letters. Fearing exposure, Dimpy tries to protect her sister's secret but inadvertently involves Bablu and his friends. Using the letters, Bablu blackmails Dimpy into helping him find the girl he loves. Dimpy reluctantly agrees and later learns that she is the girl Bablu has been searching for when he gives her earring to her, but Dimpy stays silent.

During a trip to town with Chaudhary's men in search of Renu and Rakesh, Bablu helps them flee to Shimla. However, their escape is uncovered by Pappi when he accidentally overhears Dimpy, and Bablu and his friends are severely beaten and Bablu sees Dimpy, which she recognizes him and reveals that Bablu knows where Renu and Rakesh are. Under pressure and getting beaten, Bablu falsely claims the couple is in Delhi. The group, including Dimpy, travels to Delhi, where Dimpy is kidnapped but rescued by Bablu, earning Chaudhary's grudging trust. Dimpy realizes her feelings for Bablu but hesitates to confess. Chaudhary eventually locates Renu and Rakesh on a bus. Defying her father, Renu reveals her pregnancy to Chaudhary, who upon being shocked, spares their lives but disowns Renu. The family returns home, and Chaudhary arranges Dimpy's marriage to Rajjo, a wealthy suitor. Heartbroken, Bablu decides to leave but soon returns, determined to win Dimpy. Chaudhary, fearing another elopement, keeps a close watch on Bablu. Bablu tells him that he understands how Chaudhary felt when Renu ran away from home and promises he will not elope with Dimpy.

When Bablu and his friends are about to leave, Rajjo enters at this juncture and beats up Bablu, however, Bablu fights back and defeats Rajjo when Rajjo insults him and Dimpy. However, they are stopped at the last moment by Chaudhary, who, realizing that Dimpy will only be happy if she gets to be with Bablu, tells Bablu to take Dimpy away. Bablu and Dimpy unite with a hug, Chaudhary and the other Jat community people agree to permit inter-caste and love marriages, and Chaudhary accepts Renu back as his daughter. The movie ends on a happy note."
